Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.40_prs_0.02.net;5;0,6284152801696873;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.40_prs_0.02.net;5;0,6284152801696873;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.40_prs_0.02.net;5;0,6284152801696873;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.42_prs_0.02.net;5;0,6354440339299298;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.42_prs_0.02.net;5;0,6354440339299298;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.42_prs_0.02.net;5;0,6354440339299298;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.44_prs_0.02.net;5;0,6419842923059791;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.44_prs_0.02.net;5;0,6419842923059791;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.44_prs_0.02.net;5;0,6419842923059791;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.46_prs_0.02.net;5;0,6476974235147226;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.46_prs_0.02.net;5;0,6476974235147226;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.46_prs_0.02.net;5;0,6476974235147226;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.48_prs_0.02.net;5;0,6536741763817727;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.48_prs_0.02.net;5;0,6536741763817727;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.48_prs_0.02.net;5;0,6536741763817727;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.50_prs_0.02.net;5;0,6585779975072513;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.50_prs_0.02.net;5;0,6585779975072513;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.50_prs_0.02.net;5;0,6585779975072513;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.52_prs_0.02.net;5;0,6632825263851169;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.52_prs_0.02.net;5;0,6632825263851169;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.52_prs_0.02.net;5;0,6632825263851169;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.54_prs_0.02.net;5;0,6679000557643688;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.54_prs_0.02.net;5;0,6679000557643688;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.54_prs_0.02.net;5;0,6679000557643688;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.56_prs_0.02.net;5;0,6716514684965385;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.56_prs_0.02.net;5;0,6716514684965385;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.56_prs_0.02.net;5;0,6716514684965385;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.58_prs_0.02.net;5;0,675299766540974;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.58_prs_0.02.net;5;0,675299766540974;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.58_prs_0.02.net;5;0,675299766540974;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.60_prs_0.02.net;5;0,6789746468237186;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.60_prs_0.02.net;5;0,6789746468237186;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.60_prs_0.02.net;5;0,6789746468237186;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.62_prs_0.02.net;5;0,6821568647278962;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.62_prs_0.02.net;5;0,6821568647278962;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.62_prs_0.02.net;5;0,6821568647278962;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.64_prs_0.02.net;5;0,6855902784960461;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.64_prs_0.02.net;5;0,6855902784960461;1,0;1,0;0,0
